index,month,value,year
200010,10,127.5,2022
200010,9,127.5,2022
200010,8,127.5,2022
200010,7,127.4,2022
200010,6,126.8,2022
200010,5,126.1,2022
200010,4,125.5,2022
200010,3,124.3,2022
200010,2,123.1,2022
200010,1,122.5,2022
200010,12,121.5,2021
200010,11,121.2,2021
200010,10,120.6,2021
200010,9,120.3,2021
200010,8,120.0,2021
200010,7,119.3,2021
200010,6,119.0,2021
200010,5,118.3,2021
200010,4,117.5,2021
200010,3,116.6,2021
200010,2,116.0,2021
200010,1,115.8,2021
200010,12,115.1,2020
200010,11,114.6,2020
200010,10,114.6,2020
200010,9,114.7,2020
200010,8,114.8,2020
200010,7,114.7,2020
200010,6,114.7,2020
200010,5,114.7,2020
200010,4,114.8,2020
200010,3,114.9,2020
200010,2,114.7,2020
200010,1,114.7,2020
200010,12,114.5,2019
200010,11,114.3,2019
200010,10,114.3,2019
200010,9,114.4,2019
200010,8,114.4,2019
200010,7,114.3,2019
200010,6,114.3,2019
200010,5,114.3,2019
200010,4,114.2,2019
200010,3,114.1,2019
200010,2,114.1,2019
200010,1,114.0,2019
200010,12,113.3,2018
200010,11,113.2,2018
200010,10,113.2,2018
200010,9,113.1,2018
200010,8,113.1,2018
200010,7,112.9,2018
200010,6,112.6,2018
200010,5,112.5,2018
200010,4,112.4,2018
200010,3,112.1,2018
200010,2,112.0,2018
200010,1,111.7,2018
200010,12,111.1,2017
200010,11,110.8,2017
200010,10,110.7,2017
200010,9,110.5,2017
200010,8,110.3,2017
200010,7,109.8,2017
200010,6,109.6,2017
200010,5,109.4,2017
200010,4,109.4,2017
200010,3,109.2,2017
200010,2,109.2,2017
200010,1,109.0,2017
200010,12,109.0,2016
200010,11,109.0,2016
200010,10,108.8,2016
200010,9,108.8,2016
200010,8,108.5,2016
200010,7,108.5,2016
200010,6,108.1,2016
200010,5,108.0,2016
200010,4,107.8,2016
200010,3,107.5,2016
200010,2,107.5,2016
200010,1,107.7,2016
200010,12,107.4,2015
200010,11,107.0,2015
200010,10,107.1,2015
200010,9,107.0,2015
200010,8,106.9,2015
200010,7,106.7,2015
200010,6,106.6,2015
200010,5,106.6,2015
200010,4,106.6,2015
200010,3,106.6,2015
200010,2,106.4,2015
200010,1,106.5,2015
200010,12,106.4,2014
200010,11,106.3,2014
200010,10,106.1,2014
200010,9,105.8,2014
200010,8,105.9,2014
200010,7,105.8,2014
